Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,-35.29127400014818,-18.872450865384735,46.0097555904274,30.453898264875534,18.4316125888638,-78.98330340236043,-27.449300166937746,8.949741045524888,104.18214567411178,21.99653413251872,-7.645292457080359,-15.593917637621189
2012,-17.818360255981133,-10.454181969053025,-9.913569499997038,0.7007417772897497,-12.06088081132475,-3.72685419966308,18.04674777878938,21.948755077345822,23.802984797231943,15.154920892462997,-13.7966352468801,-44.30070097953421
2013,-63.30340743009117,-7.2814945465781875,89.02688437479048,95.62664432716144,20.059937556876434,16.44100434186862,10.344575638023684,-11.848541535784534,-12.076017573391141,-8.944369732404766,14.919580685263668,23.566304580423207
2014,64.54500296906872,-27.219332379952903,-40.57496580779889,-31.479500451639296,38.741435158222885,77.79128230881861,51.53406797671971,-29.7905434054843,-64.11386917787127,-39.46013180386376,-12.054159685785635,26.7327002273845
2015,34.867083451458484,28.818113539411343,-22.911018891070967,-40.81651528259829,-53.24794875913358,3.2552435782483826,-0.9924906432204352,10.327266880375191,-19.52334940418973,-3.7780760191994887,15.174758711812274,0.10149533564776902
2016,13.677340616913625,7.4604303647479355,31.610660305232614,-4.287883739668359,6.3155004575532985,-15.484083638806169,-29.09200922037303,-37.426148569894394,-54.19909927942399,-7.854197982815549,34.05126708040643,47.52834725173125
2017,20.491937692569763,17.185439401690928,-3.1117503549851335,2.5369948041090993,-31.143008666264222,1.722007150573745,-6.660664159564249,-11.95250080712276,-60.09214610785898,-29.41193606355796,-6.281495278963803,7.430146254402189
2018,15.32513599014419,25.113410220533524,34.799466552726926,9.010164427133304,-26.86244429709336,-41.22509197263321,-28.5274512516703,-17.905954407697664,1.0647101891077,4.090874671399433,11.747348101133639,40.69962971955556
2019,47.52755277134656,46.44343482450404,3.2001476650002587,12.945390528928328,-11.176661066642282,2.896135254031833,-13.441271600403752,40.08181656741908,46.82556282559585,16.927120355295756,28.054708980547957,-18.434682640480787
2020,-13.815075348451046,-53.300597390652,-26.123245986697384,49.240873815749865,26.013907935921907,7.731426506181151,-21.733497613486406,-27.65252201065823,8.480377561708565,-22.092968503438442,-11.088057697717659,5.083864026099036
2021,47.68860152405341,-7.59698568750332,-38.182909573309644,-6.104269899154133,21.143052152448945,17.49351342842192,2.5123461827865867,-2.578197956092936,6.077089900938972,-27.286825827328812,-64.07095464299255,-74.5804427199314
2022,-49.22723994485568,4.244533147892071,28.39401581669017,55.7497976152099,36.312959346185835,7.150870036843571,-51.375875330887084,-63.56646375933542,8.19187253378368,46.16025689598655,150.20652602133077,151.44201467697758
2023,182.3234340932754,101.05849920397986,13.024304648979069,-82.42081474453425,-97.20004053590583,-24.148292076221423,25.547176731961827,74.27833768540722,66.01461157113499,25.37712977652791,-144.13192825121087,-153.33792262711404
2024,-125.83999325346531,-68.67338397877575,-55.254384482799196,-23.046226780699726,47.4538120391976,67.44754424398434,65.46284271996637,10.436348468441338,-15.968446736382248,-31.677672830306165,-21.553421265657562,-56.07268641193832
2025,-36.70706588630674,-14.664873870672182,26.88089298400655,12.525959352572954,-65.2347114203476,-55.806652095474874,37.13669073071151,115.71780817352828,90.98701851138821,75.97950233343727,-13.618323992011028,-36.222260510305205
2026,-76.59804930499422,-18.257290580151675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
