Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,0.9679837128057105,0.9826360021818953,1.0425232628742738,1.0284736658059623,1.0171048193360108,0.925836111092044,0.9741641317259795,1.0084908105372534,1.099427725194793,1.0211301257428462,0.9926462491461766,0.9850431530686894
2012,0.9826975698398388,0.9897453145477695,0.9902704510011952,1.0006922278877497,0.988233985866499,0.9963380604684999,1.0176937009019653,1.0216020158304286,1.0234697839181401,1.0149479651327038,0.9864579104704873,0.9568345798290383
2013,0.9378344342479902,0.9927783118246626,1.0883226774551127,1.095495495047308,1.0197841453355154,1.0162853329152404,1.0101951612238496,0.9882902024864307,0.9880562713747543,0.9911261275909711,1.0147706859770496,1.023208117562699
2014,1.0641948204143075,0.9726499159588655,0.9592037129399862,0.9680890475299015,1.0388479342510026,1.0784812329839242,1.0518208480725646,0.9700534513491641,0.9357005542097879,0.9605185534187897,0.9880302766540915,1.0263047922858153
2015,1.0345173223050623,1.0286126209444482,0.9774033238970727,0.9597794136497358,0.9485650284813819,1.0031429013355513,0.9990511493609191,1.009810519979719,0.9816081771398172,0.9964782315153018,1.013924029410326,1.0000916934436361
2016,1.0123517210643316,1.0067482255449338,1.0283659033510597,0.9961588011460779,1.0055414463038579,0.9864588551250034,0.9748793627891809,0.9679413137903912,0.9540373637390468,0.993410101675097,1.0281194951980415,1.0385321763543038
2017,1.0165590336877164,1.0138501271240754,0.9975227121678423,1.0020127483263306,0.9758420838829316,1.0013304770382307,0.994921960883967,0.9909857247526989,0.9552583593895625,0.9784276965122688,0.99548510110982,1.005223044924535
2018,1.0106968694538627,1.017392924346204,1.0236859882367966,1.0060634091912612,0.982464192919476,0.9733898629797295,0.9819620890999435,0.9888499358517531,1.0006516232287455,1.0024600710941383,1.0069051167021088,1.0233731241399786
2019,1.0270739383271885,1.0263052658524632,1.0017849999601647,1.0071836838134047,0.9939460500707522,1.0015670846802915,0.992802305590641,1.021412162626638,1.02490490344926,1.0089605438401503,1.0147041474997212,0.9904405978556462
2020,0.9928039551695135,0.972069076819693,0.9863594961622228,1.0257973220089782,1.0134162426653766,1.003995014755096,0.9888530931842279,0.9858529729968513,1.0043189675645703,0.9888028750514497,0.9944367447013233,1.0025193633845673
2021,1.0236984204135464,0.9962158811047913,0.9811179743471541,0.9969797352912136,1.0102693157844467,1.008506422684611,1.0012116523472714,0.9987626104176834,1.0028967174492855,0.9871245243943431,0.9702282331794115,0.9659540269485253
2022,0.9775855434949929,1.0019260454309635,1.0127178803684327,1.0247639278637948,1.0156948449414855,1.0030626689943585,0.9783987569568922,0.9735091881306984,1.0033769663977254,1.0189193806791832,1.0608914072482383,1.0607089574858566
2023,1.073379141814678,1.0408491870852499,1.005237005200061,0.9666639213466377,0.961200686985813,0.9902594402467154,1.0103160361028993,1.0301610769995002,1.0269009798845627,1.0103300877330919,0.941697315339813,0.9385994497429456
2024,0.9493569028206523,0.9722158338460442,0.9777402409566851,0.9907148277368751,1.018759812437919,1.0265797635398592,1.0254765114154885,1.004031714059752,0.9938887716932338,0.9879903169532027,0.9919473225924017,0.9793931684765551
2025,0.9865280688900897,0.9946393748698014,1.0096933784473945,1.0044791974359522,0.977303624105176,0.9807018038169888,1.0126450184499565,1.0390110585204568,1.0303086692404224,1.0249930888267873,0.9955993526289065,0.988516262482896
2026,0.9758106181737201,0.9942537575932936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
