month,hw_mult_point,hw_mult_lo95,hw_mult_hi95,hw_damped_point,hw_damped_lo95,hw_damped_hi95,ets_point,ets_lo95,ets_hi95,stlf_point,stlf_lo95,stlf_hi95,arima_point,arima_lo95,arima_hi95
2026-03-01,3122.067445641246,3011.9340749914854,3232.200816291007,3184.3535861943537,3001.5134594972733,3367.193712891434,3178.6242148026763,3096.0285631976867,3261.219866407666,3174.2237506935303,3097.050433060554,3251.3970683265065,3194.1948374087087,3044.1649921522476,3351.618813576505
2026-04-01,3123.144808107977,2976.8899387597708,3269.3996774561833,3176.6432312111633,2910.6310798351283,3442.6553825871983,3198.2535005171044,3079.9056141333735,3316.601386900835,3186.1595967453704,3075.408993657205,3296.910199833536,3252.0565828155472,3023.5072383933643,3497.882156040003
2026-05-01,3182.9387784137666,3005.14836467029,3360.7291921572432,3221.2720533285947,2880.949607998366,3561.5944986588233,3217.882786231532,3071.038165076953,3364.727407386111,3229.549160587595,3091.9213266973866,3367.1769944778034,3273.308454016806,3001.434809301459,3569.808746781194
2026-06-01,3213.230609270579,3008.484684896714,3417.976533644444,3243.918696064558,2836.745104033147,3651.092288095969,3237.51207194596,3065.748164705277,3409.2759791866433,3247.644681482546,3086.420619179559,3408.868743785533,3297.6558563594153,3014.8487393216096,3606.9916228793945
2026-07-01,3245.8830098833705,3016.2281623400813,3475.5378574266597,3287.965658617746,2813.746054632361,3762.1852626031314,3257.141357660388,3062.631332386402,3451.6513829343744,3284.9020702438156,3102.0596996697764,3467.744440817855,3318.1943409818778,3016.282718204592,3650.3254877506915
2026-08-01,3247.1752592623197,2996.0746166915105,3498.275901833129,3309.610769646424,2772.7743020932185,3846.44723719963,3276.7706433748162,3060.9774331446024,3492.56385360503,3313.3769284820182,3110.2362706202225,3516.517586343814,3335.500658084045,3006.8374286505023,3700.088516282823
2026-09-01,3289.581877450706,3015.391945460267,3563.7718094411453,3345.7303080747374,2744.5408733619743,3946.9197427875006,3296.3999290892443,3060.3703646409813,3532.4294935375074,3340.5171763263434,3118.0135021007563,3563.0208505519304,3350.069973942905,2988.7300165992797,3755.0962341803784
2026-10-01,3354.330713756913,3056.1490342052753,3652.512393308551,3352.6319709896557,2692.7467985760936,4012.5171434032177,3316.0292148036724,3060.5427697942732,3571.5156598130716,3347.9921254782944,3106.8139536644567,3589.170297292132,3362.325643566338,2964.334630220158,3813.7508559700495
2026-11-01,3405.5325843547594,3085.020518661423,3726.0446500480957,3364.1795747172787,2645.208120510927,4083.1510289236303,3335.6585005181,3061.3115468880287,3610.0054541481713,3356.06417657785,3096.7313653034153,3615.396987852285,3372.628387296209,2935.6869914496206,3874.603209376734
2026-12-01,3449.256029125413,3107.5160299494764,3790.9960283013497,3389.5190539851583,2608.5157558780106,4170.5223520923055,3355.287786232528,3062.545281706378,3648.0302907586783,3382.6528365289328,3105.5644427693996,3659.741230288466,3381.284690243993,2904.357210432312,3936.5289212398934
2027-01-01,3420.4243215556226,3064.6451925503925,3776.2034505608526,3399.238090013814,2559.687175106168,4238.78900492146,3374.917071946956,3064.146209302312,3685.6879345916004,3398.4352599166687,3103.900666026721,3692.9698538066164,3388.5543487747386,2871.4934746294707,3998.7207618787384
2027-02-01,3367.2784687519197,3017.2422454496227,3717.3146920542167,3401.255851605852,2505.2233590715064,4297.288344140198,3394.5463576613843,3066.0395041271127,3723.053211195656,3407.649083061054,3095.909195159653,3719.3889709624555,3394.6571566099833,2837.912232529379,4060.624947746365
2027-03-01,3326.7860970021748,2954.986430349901,3698.5857636544483,3421.9632947868627,2464.39904055358,4379.527549020146,3414.1756433758123,3068.1665658627453,3760.1847208888794,3422.878996230333,3094.121222681075,3751.6367697795913,3399.7787653281553,2804.184170951076,4121.874651783667
