Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,1.0034691027513583,0.9951312340264848,0.9963668350440833,0.9905934728039755,1.0037852958936078,0.9976615168629996,1.0009054864994733,0.9987229250942409,0.9985466031475683,0.9988946292256771,1.0044715772817503,1.0116099788169446
2012,1.0034691027513583,0.9951312340264848,0.9963668350440833,0.9905934728039755,1.0037852958936078,0.9976615168629996,1.0009054864994733,0.9987229250942409,0.9985466031475683,0.9988946292256771,1.0044715772817503,1.0116099788169446
2013,1.0034691027513583,0.9951312340264848,0.9963668350440833,0.9905934728039755,1.0037852958936078,0.9976615168629996,1.0009054864994733,0.9987229250942409,0.9985466031475683,0.9988946292256771,1.0044715772817503,1.0116099788169446
2014,1.0034691027513583,0.9951312340264848,0.9963668350440833,0.9905934728039755,1.0037852958936078,0.9976615168629996,1.0009054864994733,0.9987229250942409,0.9985466031475683,0.9988946292256771,1.0044715772817503,1.0116099788169446
2015,1.0034691027513583,0.9951312340264848,0.9963668350440833,0.9905934728039755,1.0037852958936078,0.9976615168629996,1.0009054864994733,0.9987229250942409,0.9985466031475683,0.9988946292256771,1.0044715772817503,1.0116099788169446
2016,1.0034691027513583,0.9951312340264848,0.9963668350440833,0.9905934728039755,1.0037852958936078,0.9976615168629996,1.0009054864994733,0.9987229250942409,0.9985466031475683,0.9988946292256771,1.0044715772817503,1.0116099788169446
2017,1.0034691027513583,0.9951312340264848,0.9963668350440833,0.9905934728039755,1.0037852958936078,0.9976615168629996,1.0009054864994733,0.9987229250942409,0.9985466031475683,0.9988946292256771,1.0044715772817503,1.0116099788169446
2018,1.0034691027513583,0.9951312340264848,0.9963668350440833,0.9905934728039755,1.0037852958936078,0.9976615168629996,1.0009054864994733,0.9987229250942409,0.9985466031475683,0.9988946292256771,1.0044715772817503,1.0116099788169446
2019,1.0034691027513583,0.9951312340264848,0.9963668350440833,0.9905934728039755,1.0037852958936078,0.9976615168629996,1.0009054864994733,0.9987229250942409,0.9985466031475683,0.9988946292256771,1.0044715772817503,1.0116099788169446
2020,1.0034691027513583,0.9951312340264848,0.9963668350440833,0.9905934728039755,1.0037852958936078,0.9976615168629996,1.0009054864994733,0.9987229250942409,0.9985466031475683,0.9988946292256771,1.0044715772817503,1.0116099788169446
2021,1.0034691027513583,0.9951312340264848,0.9963668350440833,0.9905934728039755,1.0037852958936078,0.9976615168629996,1.0009054864994733,0.9987229250942409,0.9985466031475683,0.9988946292256771,1.0044715772817503,1.0116099788169446
2022,1.0034691027513583,0.9951312340264848,0.9963668350440833,0.9905934728039755,1.0037852958936078,0.9976615168629996,1.0009054864994733,0.9987229250942409,0.9985466031475683,0.9988946292256771,1.0044715772817503,1.0116099788169446
2023,1.0034691027513583,0.9951312340264848,0.9963668350440833,0.9905934728039755,1.0037852958936078,0.9976615168629996,1.0009054864994733,0.9987229250942409,0.9985466031475683,0.9988946292256771,1.0044715772817503,1.0116099788169446
2024,1.0034691027513583,0.9951312340264848,0.9963668350440833,0.9905934728039755,1.0037852958936078,0.9976615168629996,1.0009054864994733,0.9987229250942409,0.9985466031475683,0.9988946292256771,1.0044715772817503,1.0116099788169446
2025,1.0034691027513583,0.9951312340264848,0.9963668350440833,0.9905934728039755,1.0037852958936078,0.9976615168629996,1.0009054864994733,0.9987229250942409,0.9985466031475683,0.9988946292256771,1.0044715772817503,1.0116099788169446
2026,1.0034691027513583,0.9951312340264848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
