January 2015;11A1312: Porto;Total;1045;
December 2014;11A1312: Porto;Total;1043;
November 2014;11A1312: Porto;Total;995;
October 2014;11A1312: Porto;Total;960;
September 2014;11A1312: Porto;Total;933;
August 2014;11A1312: Porto;Total;965;
July 2014;11A1312: Porto;Total;1046;
June 2014;11A1312: Porto;Total;1069;
May 2014;11A1312: Porto;Total;1036;
April 2014;11A1312: Porto;Total;955;
March 2014;11A1312: Porto;Total;954;
February 2014;11A1312: Porto;Total;968;
January 2014;11A1312: Porto;Total;1070;
December 2013;11A1312: Porto;Total;1039;
November 2013;11A1312: Porto;Total;1025;
October 2013;11A1312: Porto;Total;999;
September 2013;11A1312: Porto;Total;999;
August 2013;11A1312: Porto;Total;1000;
July 2013;11A1312: Porto;Total;1025;
June 2013;11A1312: Porto;Total;1026;
May 2013;11A1312: Porto;Total;1034;
April 2013;11A1312: Porto;Total;1097;
March 2013;11A1312: Porto;Total;1097;
February 2013;11A1312: Porto;Total;1001;
January 2013;11A1312: Porto;Total;955;
December 2012;11A1312: Porto;Total;982;
November 2012;11A1312: Porto;Total;1005;
October 2012;11A1312: Porto;Total;1029;
September 2012;11A1312: Porto;Total;1038;
August 2012;11A1312: Porto;Total;1038;
July 2012;11A1312: Porto;Total;1038;
June 2012;11A1312: Porto;Total;1014;
May 2012;11A1312: Porto;Total;1013;
April 2012;11A1312: Porto;Total;1013;
March 2012;11A1312: Porto;Total;1009;
February 2012;11A1312: Porto;Total;1009;
January 2012;11A1312: Porto;Total;1012;
December 2011;11A1312: Porto;Total;1027;
November 2011;11A1312: Porto;Total;1032;
October 2011;11A1312: Porto;Total;1063;
September 2011;11A1312: Porto;Total;1152;
August 2011;11A1312: Porto;Total;1063;
July 2011;11A1312: Porto;Total;1035;
June 2011;11A1312: Porto;Total;986;
May 2011;11A1312: Porto;Total;1096;
April 2011;11A1312: Porto;Total;1100;
March 2011;11A1312: Porto;Total;1128;
February 2011;11A1312: Porto;Total;1068;
January 2011;11A1312: Porto;Total;1067;
